"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj","nickname","sig"
"108","brain_bio.volume_of_pallidum_.left..0.imaging","de",":=","c","de",-0.0374073568679843,0.0105471929763308,-3.54666468622799,0.000390140812040585,-0.0580794752395865,-0.0167352384963821,0.00854276301664969,"volume",TRUE
"118","brain_bio.volume_of_pallidum_.right..0.imaging","de",":=","c","de",-0.0349104099952614,0.0105651770753422,-3.30429009815065,0.000952172480483737,-0.0556177765532204,-0.0142030434373025,0.00854276301664969,"volume",TRUE
"128","brain_bio.volume_of_hippocampus_.left..0.imaging","de",":=","c","de",-0.0382935317715937,0.0105352590300356,-3.63479736591386,0.000278199209030383,-0.058942260038264,-0.0176448035049235,0.00854276301664969,"volume",TRUE
"138","brain_bio.volume_of_hippocampus_.right..0.imaging","de",":=","c","de",-0.0394546966165189,0.010517520670522,-3.75133055141985,0.000175898614256598,-0.0600686583373976,-0.0188407348956403,0.00854276301664969,"volume",TRUE
"148","brain_bio.volume_of_amygdala_.left..0.imaging","de",":=","c","de",-0.041790005742067,0.0105552256073688,-3.95917693250373,7.52085055666374e-05,-0.0624778677812047,-0.0211021437029293,0.00854276301664969,"volume",TRUE
"158","brain_bio.volume_of_amygdala_.right..0.imaging","de",":=","c","de",-0.0422363958394561,0.0105624936828402,-3.99871442366617,6.36874677599764e-05,-0.0629385030447548,-0.0215342886341573,0.00854276301664969,"volume",TRUE
"168","brain_bio.volume_of_accumbens_.left..0.imaging","de",":=","c","de",-0.0364348932286965,0.0105580579737152,-3.45090861590292,0.000558702710305781,-0.0571283066038643,-0.0157414798535287,0.00854276301664969,"volume",TRUE
"178","brain_bio.volume_of_accumbens_.right..0.imaging","de",":=","c","de",-0.036072105826198,0.0105556769540106,-3.4173180918058,0.00063241341314435,-0.0567608524884982,-0.0153833591638977,0.00854276301664969,"volume",TRUE
"188","brain_bio.volume_of_brain_stem_._4th_ventricle.0.imaging","de",":=","c","de",-0.034780839385312,0.0105312391016208,-3.30263505079464,0.000957809537871501,-0.0554216887370688,-0.0141399900335552,0.00854276301664969,"volume",TRUE
"198","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging","de",":=","c","de",-0.0427442117496522,0.0105798556870794,-4.04015073682465,5.34168585533124e-05,-0.063480347857959,-0.0220080756413453,0.00854276301664969,"fa",TRUE
"208","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging","de",":=","c","de",-0.0444915826028725,0.0105935763077737,-4.19986426776612,2.67075035420561e-05,-0.0652546106335857,-0.0237285545721593,0.0054750382261215,"fa",TRUE
"218","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0403051164237598,0.0105846523399522,-3.8078828788383,0.000140161624522239,-0.0610506537989438,-0.0195595790485759,0.00854276301664969,"fa",TRUE
"228","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0413061447039179,0.0105761209812459,-3.90560440611109,9.39901659025022e-05,-0.0620349609232982,-0.0205773284845375,0.00854276301664969,"fa",TRUE
"238","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging","de",":=","c","de",-0.041808545438136,0.0105756538428479,-3.95328232744781,7.70863907313402e-05,-0.0625364460830804,-0.0210806447931915,0.00854276301664969,"fa",TRUE
"248","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging","de",":=","c","de",-0.0415997538557073,0.0105826148388875,-3.93095227304713,8.46100685603091e-05,-0.062341297802186,-0.0208582099092286,0.00854276301664969,"fa",TRUE
"258","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging","de",":=","c","de",-0.0434989190257851,0.010587148569196,-4.10865293345821,3.97973626229398e-05,-0.0642493489203841,-0.0227484891311862,0.00784008043671913,"fa",TRUE
"268","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging","de",":=","c","de",-0.0452326022669507,0.010600929899616,-4.266852313455,1.98250305565306e-05,-0.0660100430728319,-0.0244551614610696,0.0041434313863149,"fa",TRUE
"278","brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging","de",":=","c","de",-0.0425436831847452,0.0105788387178085,-4.02158349508883,5.7808209512844e-05,-0.0632778260699077,-0.0218095402995827,0.00854276301664969,"fa",TRUE
"288","brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging","de",":=","c","de",-0.0400647033454633,0.0105962873988539,-3.78101327732926,0.000156191342935097,-0.0608330450170525,-0.019296361673874,0.00854276301664969,"fa",TRUE
"298","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging","de",":=","c","de",-0.0414698857523809,0.0105749471531696,-3.92152179596957,8.79914874252208e-05,-0.0621964013110076,-0.0207433701937541,0.00854276301664969,"fa",TRUE
"308","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging","de",":=","c","de",-0.0401810931463825,0.010589115757641,-3.79456548271165,0.000147902244877596,-0.0609353786594844,-0.0194268076332806,0.00854276301664969,"fa",TRUE
"318","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging","de",":=","c","de",-0.04106235852522,0.0105722453470383,-3.88397707178854,0.000102761602468027,-0.0617835786411363,-0.0203411384093037,0.00854276301664969,"fa",TRUE
"328","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.033985314186092,0.0106277523347514,-3.19778943991425,0.00138485357578877,-0.0548153259988162,-0.0131553023733678,0.00854276301664969,"fa",TRUE
"338","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0376645546170564,0.0105783986501446,-3.56051571345739,0.00037012716046747,-0.058397834985447,-0.0169312742486658,0.00854276301664969,"fa",TRUE
"348","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging","de",":=","c","de",-0.0405196539392056,0.0105993279545464,-3.82285123292419,0.000131917375719715,-0.0612939549904452,-0.019745352887966,0.00854276301664969,"fa",TRUE
"358","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging","de",":=","c","de",-0.0412543992018287,0.0105826956094115,-3.89828836852682,9.68750124648032e-05,-0.0619961014556254,-0.020512696948032,0.00854276301664969,"fa",TRUE
"368","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0427909768430647,0.0105784537001835,-4.0451069745971,5.22992373102049e-05,-0.0635243651075487,-0.0220575885785806,0.00854276301664969,"fa",TRUE
"378","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.043133505251042,0.0105780568625648,-4.07763976044497,4.54951829513828e-05,-0.0638661157280857,-0.0224008947739982,0.0084621040289572,"fa",TRUE
"388","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging","de",":=","c","de",-0.0425301862743323,0.0105705199941959,-4.02347153192887,5.73465187871935e-05,-0.0632480247608169,-0.0218123477878477,0.00854276301664969,"fa",TRUE
"398","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging","de",":=","c","de",-0.0415952652055402,0.0105611949688939,-3.93849988832244,8.19926323538667e-05,-0.0622948269782778,-0.0208957034328025,0.00854276301664969,"fa",TRUE
"408","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging","de",":=","c","de",-0.0429085994640718,0.0105798559369763,-4.05568844412215,4.99868526586678e-05,-0.0636447360621676,-0.0221724628659761,0.00854276301664969,"md",TRUE
"418","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.right..0.imaging","de",":=","c","de",-0.0432173893314663,0.0106006505075254,-4.07686200962726,4.56475638224152e-05,-0.0639942825389123,-0.0224404961240202,0.0084621040289572,"md",TRUE
"428","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0398331134121704,0.0105912545721521,-3.7609438183938,0.000169273449459162,-0.0605915909246837,-0.0190746358996572,0.00854276301664969,"md",TRUE
"438","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0389459985696312,0.0106008830360173,-3.67384475777247,0.000238927929286925,-0.0597233475245467,-0.0181686496147157,0.00854276301664969,"md",TRUE
"448","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging","de",":=","c","de",-0.0410390198885154,0.0105869811864695,-3.8763665643389,0.000106027912867956,-0.0617891217189988,-0.020288918058032,0.00854276301664969,"md",TRUE
"458","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.left..0.imaging","de",":=","c","de",-0.0430567616154033,0.0105795511765747,-4.06980985268448,4.70515240136304e-05,-0.063792300894088,-0.0223212223367186,0.00854276301664969,"md",TRUE
"468","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.right..0.imaging","de",":=","c","de",-0.0447567933716083,0.0105787158177628,-4.23083426595664,2.32826175483591e-05,-0.0654906953771075,-0.0240228913661091,0.00481950183251034,"md",TRUE
"478","brain_bio.weighted.mean_md_in_tract_forceps_major.0.imaging","de",":=","c","de",-0.0423713805282216,0.0105884856875343,-4.00164686231808,6.29031326435658e-05,-0.0631244311266067,-0.0216183299298365,0.00854276301664969,"md",TRUE
"488","brain_bio.weighted.mean_md_in_tract_forceps_minor.0.imaging","de",":=","c","de",-0.0410923393324318,0.0105827534809979,-3.88295346822696,0.000103195321907945,-0.0618341550124536,-0.02035052365241,0.00854276301664969,"md",TRUE
"498","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","de",":=","c","de",-0.0422130801664004,0.0105853601961156,-3.98787376001536,6.66681209771092e-05,-0.0629600049141708,-0.02146615541863,0.00854276301664969,"md",TRUE
"508","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging","de",":=","c","de",-0.0419061508342433,0.0105856408223077,-3.9587731661868,7.53357434704061e-05,-0.0626536255992434,-0.0211586760692433,0.00854276301664969,"md",TRUE
"518","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging","de",":=","c","de",-0.0426380712399852,0.0105828493852039,-4.0289783675461,5.60197723828981e-05,-0.0633800748887967,-0.0218960675911736,0.00854276301664969,"md",TRUE
"528","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging","de",":=","c","de",-0.0425672445314466,0.0105800357982059,-4.0233554350227,5.73748074508273e-05,-0.0633037336510747,-0.0218307554118185,0.00854276301664969,"md",TRUE
"538","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0407727266010473,0.0105862194018738,-3.85149079697236,0.00011740094281687,-0.0615213353611591,-0.0200241178409354,0.00854276301664969,"md",TRUE
"548","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0402056042901902,0.0105805161351314,-3.79996625653186,0.000144715791717154,-0.0609430348528926,-0.0194681737274878,0.00854276301664969,"md",TRUE
"558","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging","de",":=","c","de",-0.0406839951999918,0.0105977335496728,-3.83893358040201,0.000123569849575844,-0.0614551712751022,-0.0199128191248813,0.00854276301664969,"md",TRUE
"568","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging","de",":=","c","de",-0.0404088281794929,0.0105930259576638,-3.81466337767803,0.000136368693481215,-0.0611707775438119,-0.0196468788151739,0.00854276301664969,"md",TRUE
"578","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0386563518913582,0.01058369150482,-3.65244507304028,0.000259755168860121,-0.059400006064288,-0.0179126977184284,0.00854276301664969,"md",TRUE
"588","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0395989275005177,0.0105750578633233,-3.74455894353599,0.000180710949669205,-0.0603256600470583,-0.018872194953977,0.00854276301664969,"md",TRUE
"598","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging","de",":=","c","de",-0.0419617512819958,0.0105680909868941,-3.97060844139534,7.16893166288202e-05,-0.0626748290016506,-0.021248673562341,0.00854276301664969,"md",TRUE
"608","brain_bio.weighted.mean_mo_in_tract_acoustic_radiation_.left..0.imaging","de",":=","c","de",-0.0417152286624577,0.0105973701161517,-3.93637555405169,8.27214856684577e-05,-0.0624856924209562,-0.0209447649039592,0.00854276301664969,"mo",TRUE
"618","brain_bio.weighted.mean_mo_in_tract_acoustic_radiation_.right..0.imaging","de",":=","c","de",-0.0426269757549009,0.0105900376685652,-4.02519585755886,5.6927914404703e-05,-0.0633830681802111,-0.0218708833295906,0.00854276301664969,"mo",TRUE
"628","brain_bio.weighted.mean_mo_in_tract_anterior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.042222985917286,0.0105805481988786,-3.99062365424139,6.58997799130034e-05,-0.0629604793237782,-0.0214854925107938,0.00854276301664969,"mo",TRUE
"638","brain_bio.weighted.mean_mo_in_tract_anterior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0423911276294598,0.0105840870497358,-4.00517564058754,6.19714167902075e-05,-0.0631355570561788,-0.0216466982027409,0.00854276301664969,"mo",TRUE
"648","brain_bio.weighted.mean_mo_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging","de",":=","c","de",-0.042768501912275,0.0105740694572769,-4.04465868936036,5.23994059546951e-05,-0.0634932972185627,-0.0220437066059873,0.00854276301664969,"mo",TRUE
"658","brain_bio.weighted.mean_mo_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging","de",":=","c","de",-0.0427681100161808,0.0105750014225638,-4.04426517853009,5.24874851581814e-05,-0.0634947319408656,-0.022041488091496,0.00854276301664969,"mo",TRUE
"668","brain_bio.weighted.mean_mo_in_tract_corticospinal_tract_.left..0.imaging","de",":=","c","de",-0.0424901832169794,0.0105845520019613,-4.01435820893563,5.96077634522629e-05,-0.0632355239333149,-0.021744842500644,0.00854276301664969,"mo",TRUE
"678","brain_bio.weighted.mean_mo_in_tract_corticospinal_tract_.right..0.imaging","de",":=","c","de",-0.042636939296707,0.0105826108981786,-4.02896220100517,5.60236244382395e-05,-0.0633784755195382,-0.0218954030738759,0.00854276301664969,"mo",TRUE
"688","brain_bio.weighted.mean_mo_in_tract_forceps_major.0.imaging","de",":=","c","de",-0.0427120898067771,0.0105808578065506,-4.03673223737437,5.42008699326857e-05,-0.0634501900331557,-0.0219739895803984,0.00854276301664969,"mo",TRUE
"698","brain_bio.weighted.mean_mo_in_tract_forceps_minor.0.imaging","de",":=","c","de",-0.0427051012396163,0.0105825565365842,-4.03542386870162,5.45038110166818e-05,-0.0634465309156803,-0.0219636715635523,0.00854276301664969,"mo",TRUE
"708","brain_bio.weighted.mean_mo_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","de",":=","c","de",-0.0423967797958626,0.0105763806963691,-4.00862837798734,6.10724355263326e-05,-0.0631261050475307,-0.0216674545441946,0.00854276301664969,"mo",TRUE
"718","brain_bio.weighted.mean_mo_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging","de",":=","c","de",-0.0434483820436234,0.0105871751698281,-4.10386919519808,4.06297239790021e-05,-0.0641988640745031,-0.0226979000127436,0.00796342589988441,"mo",TRUE
"728","brain_bio.weighted.mean_mo_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging","de",":=","c","de",-0.0428098788140889,0.0105794233196042,-4.0465229077997,5.19840396164817e-05,-0.0635451674977164,-0.0220745901304614,0.00854276301664969,"mo",TRUE
"738","brain_bio.weighted.mean_mo_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging","de",":=","c","de",-0.0430605224108327,0.0105815467274929,-4.0693977468297,4.71348205308697e-05,-0.0637999728974464,-0.022321071924219,0.00854276301664969,"mo",TRUE
"748","brain_bio.weighted.mean_mo_in_tract_posterior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0402349636816533,0.0105890230980303,-3.79968608144196,0.000144879492332217,-0.0609890675852554,-0.0194808597780511,0.00854276301664969,"mo",TRUE
"758","brain_bio.weighted.mean_mo_in_tract_posterior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0428958952055541,0.0105819089386197,-4.05370103394119,5.04136372465602e-05,-0.0636360556129311,-0.022155734798177,0.00854276301664969,"mo",TRUE
"768","brain_bio.weighted.mean_mo_in_tract_superior_longitudinal_fasciculus_.left..0.imaging","de",":=","c","de",-0.0429806329353589,0.0105887409860821,-4.05908813822653,4.92647175611705e-05,-0.0637341839097029,-0.0222270819610149,0.00854276301664969,"mo",TRUE
"778","brain_bio.weighted.mean_mo_in_tract_superior_longitudinal_fasciculus_.right..0.imaging","de",":=","c","de",-0.0418901848825007,0.0105906544155222,-3.95539154040419,7.64094075047517e-05,-0.0626474861096342,-0.0211328836553672,0.00854276301664969,"mo",TRUE
"788","brain_bio.weighted.mean_mo_in_tract_superior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0430784305323639,0.0105834153506668,-4.07037134091595,4.69382583332401e-05,-0.0638215434530991,-0.0223353176116287,0.00854276301664969,"mo",TRUE
"798","brain_bio.weighted.mean_mo_in_tract_superior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0427872640458542,0.01058066960529,-4.04390890577112,5.25673503906088e-05,-0.0635249954045402,-0.0220495326871681,0.00854276301664969,"mo",TRUE
"808","brain_bio.weighted.mean_mo_in_tract_uncinate_fasciculus_.left..0.imaging","de",":=","c","de",-0.0421906058998222,0.0105852237304583,-3.98580199853704,6.72525778142585e-05,-0.0629372631798191,-0.0214439486198253,0.00854276301664969,"mo",TRUE
"818","brain_bio.weighted.mean_mo_in_tract_uncinate_fasciculus_.right..0.imaging","de",":=","c","de",-0.0422359962609093,0.0105845773392324,-3.99033375705601,6.59803824525351e-05,-0.0629813866373836,-0.0214906058844349,0.00854276301664969,"mo",TRUE
"828","brain_bio.weighted.mean_l1_in_tract_acoustic_radiation_.left..0.imaging","de",":=","c","de",-0.043228718193585,0.0105789977657129,-4.08627727795648,4.38349878038036e-05,-0.063963172806912,-0.0224942635802581,0.00837248267052648,"l1",TRUE
"838","brain_bio.weighted.mean_l1_in_tract_acoustic_radiation_.right..0.imaging","de",":=","c","de",-0.0425136625224924,0.0105895947547139,-4.01466378149813,5.95305941306634e-05,-0.0632688868526058,-0.0217584381923789,0.00854276301664969,"l1",TRUE
"848","brain_bio.weighted.mean_l1_in_tract_anterior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0414417575772567,0.0105888088029162,-3.91373178499958,9.08805804997748e-05,-0.0621954414701532,-0.0206880736843601,0.00854276301664969,"l1",TRUE
"858","brain_bio.weighted.mean_l1_in_tract_anterior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0405166114340362,0.0106034681437201,-3.82107164230337,0.000132873042919535,-0.0612990271069454,-0.0197341957611269,0.00854276301664969,"l1",TRUE
"868","brain_bio.weighted.mean_l1_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging","de",":=","c","de",-0.0428880135410196,0.0105831572372722,-4.05247815746087,5.0677956690226e-05,-0.0636306205687976,-0.0221454065132417,0.00854276301664969,"l1",TRUE
"878","brain_bio.weighted.mean_l1_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging","de",":=","c","de",-0.0426303821886442,0.0105826510854309,-4.02832729195178,5.61751049075188e-05,-0.0633719971770424,-0.021888767200246,0.00854276301664969,"l1",TRUE
"888","brain_bio.weighted.mean_l1_in_tract_corticospinal_tract_.left..0.imaging","de",":=","c","de",-0.0427265564552666,0.01058168427166,-4.03778409545797,5.39584791174885e-05,-0.0634662765234942,-0.021986836387039,0.00854276301664969,"l1",TRUE
"898","brain_bio.weighted.mean_l1_in_tract_corticospinal_tract_.right..0.imaging","de",":=","c","de",-0.0428328982114091,0.0105802051423607,-4.04839959481656,5.15690480620279e-05,-0.0635697192394816,-0.0220960771833367,0.00854276301664969,"l1",TRUE
"908","brain_bio.weighted.mean_l1_in_tract_forceps_major.0.imaging","de",":=","c","de",-0.0412849268063598,0.0105905874641426,-3.89826597874212,9.68839681296796e-05,-0.0620420968112007,-0.020527756801519,0.00854276301664969,"l1",TRUE
"918","brain_bio.weighted.mean_l1_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","de",":=","c","de",-0.0427291033175743,0.0105798437509649,-4.0387272556532,5.37420103685626e-05,-0.0634652160315267,-0.0219929906036219,0.00854276301664969,"l1",TRUE
"928","brain_bio.weighted.mean_l1_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging","de",":=","c","de",-0.0430388621380544,0.0105839159870776,-4.06644026564484,4.77367139024576e-05,-0.0637829562881242,-0.0222947679879847,0.00854276301664969,"l1",TRUE
"938","brain_bio.weighted.mean_l1_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging","de",":=","c","de",-0.0425242493784682,0.0105795745948528,-4.01946685069525,5.83299877707777e-05,-0.0632598345561346,-0.0217886642008019,0.00854276301664969,"l1",TRUE
"948","brain_bio.weighted.mean_l1_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging","de",":=","c","de",-0.0426960672874348,0.0105803803035942,-4.03540005768326,5.45093390798002e-05,-0.0634332316252163,-0.0219589029496533,0.00854276301664969,"l1",TRUE
"958","brain_bio.weighted.mean_l1_in_tract_posterior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0427925710083025,0.0105813373501258,-4.04415525111234,5.25121151804253e-05,-0.0635316111228176,-0.0220535308937874,0.00854276301664969,"l1",TRUE
"968","brain_bio.weighted.mean_l1_in_tract_posterior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0425051985960546,0.0105819995898834,-4.01674543974566,5.90074039736876e-05,-0.0632455366766436,-0.0217648605154655,0.00854276301664969,"l1",TRUE
"978","brain_bio.weighted.mean_l1_in_tract_superior_longitudinal_fasciculus_.left..0.imaging","de",":=","c","de",-0.0419736073524961,0.0105916713164068,-3.96288801819954,7.40485198467145e-05,-0.0627329016687393,-0.0212143130362529,0.00854276301664969,"l1",TRUE
"988","brain_bio.weighted.mean_l1_in_tract_superior_longitudinal_fasciculus_.right..0.imaging","de",":=","c","de",-0.0412278455259628,0.0105964188356516,-3.89073385691891,9.9941504227985e-05,-0.0619964448089418,-0.0204592462429839,0.00854276301664969,"l1",TRUE
"998","brain_bio.weighted.mean_l1_in_tract_superior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0387728062446316,0.0105986065347007,-3.65829282535266,0.000253900860689216,-0.0595456933389559,-0.0179999191503073,0.00854276301664969,"l1",TRUE
"1008","brain_bio.weighted.mean_l1_in_tract_superior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0394617645426437,0.010587940654223,-3.72704814197315,0.000193735464226741,-0.0602137468953681,-0.0187097821899192,0.00854276301664969,"l1",TRUE
"1018","brain_bio.weighted.mean_l1_in_tract_uncinate_fasciculus_.left..0.imaging","de",":=","c","de",-0.0428086851588578,0.0105813432037937,-4.04567589713088,5.21723737119117e-05,-0.0635477367463511,-0.0220696335713645,0.00854276301664969,"l1",TRUE
"1028","brain_bio.weighted.mean_l1_in_tract_uncinate_fasciculus_.right..0.imaging","de",":=","c","de",-0.0427007538978634,0.0105794682703249,-4.03619093198074,5.43260103780252e-05,-0.0634361306832845,-0.0219653771124423,0.00854276301664969,"l1",TRUE
"1038","brain_bio.weighted.mean_l2_in_tract_acoustic_radiation_.left..0.imaging","de",":=","c","de",-0.0425871005782749,0.0105805036334722,-4.02505419907872,5.69621945825105e-05,-0.0633245066381755,-0.0218496945183742,0.00854276301664969,"l2",TRUE
"1048","brain_bio.weighted.mean_l2_in_tract_acoustic_radiation_.right..0.imaging","de",":=","c","de",-0.0433046124207436,0.0106085762953569,-4.08203808080234,4.46424795812472e-05,-0.0640970398868884,-0.0225121849545989,0.00839278616127448,"l2",TRUE
"1058","brain_bio.weighted.mean_l2_in_tract_anterior_thalamic_radiation_.left..0.imaging","de",":=","c","de",-0.0395443865132803,0.0105900983244787,-3.73409059119636,0.000188394678773962,-0.0603005978219965,-0.0187881752045641,0.00854276301664969,"l2",TRUE
"1068","brain_bio.weighted.mean_l2_in_tract_anterior_thalamic_radiation_.right..0.imaging","de",":=","c","de",-0.0390290002793387,0.0105975653387137,-3.68282704865831,0.00023066165829122,-0.0597998466670275,-0.0182581538916498,0.00854276301664969,"l2",TRUE
"1078","brain_bio.weighted.mean_l2_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging","de",":=","c","de",-0.0405483199619753,0.0105778507421745,-3.83332313437804,0.000126423707537349,-0.0612805264504776,-0.0198161134734731,0.00854276301664969,"l2",TRUE
"1088","brain_bio.weighted.mean_l2_in_tract_corticospinal_tract_.left..0.imaging","de",":=","c","de",-0.0434049833259169,0.0105836196402231,-4.10114732023777,4.11106714499621e-05,-0.0641484966468249,-0.0226614700050088,0.00797547026129264,"l2",TRUE
